2015 BMW 5 Series 535i xDrive	$23,490	51,319 miles	Sedan 	Black 	6 Cyl 
2015 Audi A5 Premium Plus	$24,490	30,543 miles	Coupe 	Black 	4 Cyl 
2016 Toyota Camry SE	$12,490	46,718 miles	Sedan 	Black 	4 Cyl 
2016 Toyota Camry SE	$13,990	18,184 miles	Sedan 	Black 	4 Cyl 
2012 Audi A7 Premium Plus	$25,890	50,824 miles	Hatchback 	White 	6 Cyl 
2015 Mercedes-Benz M-Class ML 350	$24,990	55,071 miles	SUV 	White 	6 Cyl 
2015 Mercedes-Benz C-Class C 300	$21,490	46,346 miles	Sedan 	Black 	4 Cyl 
2013 Nissan Juke S	$9,985	41,709 miles	SUV 	Unspecified 	4 Cyl 
2015 Nissan Pathfinder SV	$15,990	32,068 miles	SUV 	Black 	6 Cyl 
2015 Acura MDX Technology	$24,860	40,650 miles	SUV 	White 	6 Cyl 
2014 Infiniti Q50 Sport	$19,995	45,099 miles	Sedan 	Gray 	6 Cyl 
2014 Nissan Maxima SV	$13,680	48,882 miles	Sedan 	Black 	6 Cyl 
2013 Ford Escape SEL	$9,999	95,793 miles	SUV 	Gray 	4 Cyl 
2007 Infiniti G35	$6,999	112,457 miles	Sedan 	White 	6 Cyl 
2014 Infiniti Q50 Premium	$18,999	32,808 miles	Sedan 	Black 	6 Cyl 
2014 Infiniti Q50 Premium	$15,999	87,981 miles	Sedan 	Gray 	6 Cyl 
2015 Nissan Rogue SV	$12,999	80,263 miles	SUV 	White 	4 Cyl 
2012 Cadillac CTS Premium	$9,999	106,692 miles	Sedan 	Red 	6 Cyl 
2013 BMW X5 xDrive35i	$19,999	59,846 miles	SUV 	White 	6 Cyl 
2016 Toyota Camry XLE	$12,999	44,204 miles	Sedan 	Black 	4 Cyl 
2015 Nissan Rogue S	$11,999	69,223 miles	SUV 	Gray 	4 Cyl 
2012 Honda Civic	$4,999	64,402 miles	Sedan 	Gray 	4 Cyl 
2016 Nissan Altima SR	$11,999	39,360 miles	Sedan 	Black 	4 Cyl 
2008 Honda Accord EXL	$4,999	124,078 miles	Sedan 	Gray 	6 Cyl 
2007 Chevrolet Tahoe LTZ	$10,999	133,856 miles	SUV 	Black 	8 Cyl 
2007 Hummer H3 Adventure	$9,999	117,373 miles	SUV 	Black 	5 Cyl 
2014 Nissan Maxima SV	$10,999	87,958 miles	Sedan 	Black 	6 Cyl 
2016 Nissan Altima SR	$11,999	41,361 miles	Sedan 	Gray 	4 Cyl 
2015 Nissan Altima S	$8,995	57,027 miles	Sedan 	Gray 	4 Cyl 
2014 Jeep Grand Cherokee Limited Edition	$20,890	44,007 miles	SUV 	Black 	6 Cyl 
2015 Ford Explorer XLT	$22,980	42,650 miles	SUV 	White 	6 Cyl 
2016 Toyota Camry LE	$10,985	35,443 miles	Sedan 	Black 	4 Cyl 
2014 Maserati GranTurismo Sport	$54,995	20,645 miles	Coupe 	Gray 	8 Cyl 
2015 Infiniti Q50	$17,995	60,258 miles	Sedan 	Black 	6 Cyl 
2013 Infiniti G37	$13,995	43,018 miles	Sedan 	Black 	6 Cyl 
2014 Maserati Ghibli S Q4	$32,995	29,446 miles	Sedan 	Black 	6 Cyl 
2015 Nissan Rogue SV	$10,995	52,400 miles	SUV 	Blue 	4 Cyl 
2014 Jeep Grand Cherokee Limited Edition	$20,890	44,007 miles	SUV 	Black 	6 Cyl 
2016 Toyota Camry LE	$10,985	35,443 miles	Sedan 	Black 	4 Cyl 
2015 Ford Explorer XLT	$22,980	42,650 miles	SUV 	White 	6 Cyl 
2014 Mercedes-Benz CLA 250	$17,490	30,724 miles	Sedan 	Black 	4 Cyl 
2013 Nissan Murano LE	$15,998	63,000 miles	SUV 	White 	6 Cyl 
2012 Audi A7 Premium Plus	$25,890	50,824 miles	Hatchback 	White 	6 Cyl 
2015 Audi A5 Premium Plus	$24,490	30,543 miles	Coupe 	Black 	4 Cyl 
2015 Mercedes-Benz C-Class C 300	$21,490	46,346 miles	Sedan 	Black 	4 Cyl 
2016 Toyota Camry SE	$12,490	46,718 miles	Sedan 	Black 	4 Cyl 
2016 Toyota Camry SE	$13,990	18,184 miles	Sedan 	Black 	4 Cyl 
